FILE,NO_CHANGES,NO_AUTHORS
CODE_FILE1,47,1
CODE_FILE6,42,1
CODE_FILE7,67,4
CODE_FILE8,67,5
CODE_FILE9,80,5
CODE_FILE10,91,4
CODE_FILE12,72,1
CODE_FILE13,59,5
CODE_FILE14,45,5
CODE_FILE15,13,3
CODE_FILE17,65,1
CODE_FILE18,68,5
CODE_FILE19,87,3
CODE_FILE21,7,2
CODE_FILE22,41,2
CODE_FILE24,61,2
CODE_FILE25,69,2
CODE_FILE28,21,3
CODE_FILE33,41,1
CODE_FILE34,90,4
CODE_FILE35,21,2
CODE_FILE37,82,4
CODE_FILE38,17,4
CODE_FILE40,35,2
CODE_FILE42,7,3
CODE_FILE44,91,2
CODE_FILE45,27,5
CODE_FILE46,9,1
CODE_FILE47,48,4
CODE_FILE48,19,5
CODE_FILE49,34,1
CODE_FILE50,76,2
CODE_FILE51,67,3
CODE_FILE52,48,3
CODE_FILE53,10,5
CODE_FILE54,39,2
CODE_FILE55,93,5
CODE_FILE56,82,1
CODE_FILE57,95,1
CODE_FILE59,19,1
CODE_FILE60,83,5
CODE_FILE61,18,5
CODE_FILE62,10,5
CODE_FILE63,18,2
CODE_FILE64,85,1
CODE_FILE65,31,3
CODE_FILE67,95,4
CODE_FILE68,69,4
CODE_FILE70,24,3
